      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1619w-letters-prague.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1675e-ashkenaz-un-polak.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1717e-poznan.psd:D an
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1798w-diskurs.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1800e-nakhman.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-ukraine-2.psd:D an
     39 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1910e-grine-felder.psd:D an
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1927e-shatzky-teshuat.psd#:D an
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-shatzky-teshuat.psd:D an
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-zaretski-sholem.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-kines.psd:D an
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-messiah.psd:D an
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-zaretski-mendele.psd:D an
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-ukraine.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-vaad.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-rubashov.psd:D an
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd:D an
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1944e-biokhemie.psd:D an
     22 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1946e-mark.psd:D an
